DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
9/13/2024,00:00,-1.67690,-0.381820,-2.05418,408.5,-48.24,0.061,0,0.322,0.19,0.19
9/13/2024,00:01,-1.68815,-0.381820,-2.18405,408.7,-48.06,0,0,0.304,0,0
9/13/2024,00:02,-1.68815,-0.381820,-2.07780,408.8,-47.92,0,0,0.285,0.197,0.197
9/13/2024,00:03,-1.68815,-0.381820,-2.20766,409.2,-47.55,0,0,0.326,0,0
9/13/2024,00:04,-1.68815,-0.381820,-2.25488,409.1,-47.52,0,0,0.296,0.104,0.078
9/13/2024,00:05,-1.66564,-0.381820,-1.90071,409.1,-47.37,0.084,0,0.214,0.088,0.118
9/13/2024,00:06,-1.68815,-0.381820,-2.04238,409.3,-47.24,0,0,0.299,0.19,0.135
9/13/2024,00:07,-1.68815,-0.381820,-2.18405,409.4,-47.16,0,0,0.29,0.152,0.129
9/13/2024,00:08,-1.62062,-0.381820,-1.98335,409.7,-47.01,0.135,0,0.283,0.098,0.064
9/13/2024,00:09,-1.67690,-0.381820,-2.08960,410,-46.6,0.061,0,0.334,0.1,0.139
9/13/2024,00:10,-1.66564,-0.381820,-2.06599,410.1,-46.4,0.084,0,0.304,0.128,0.128
9/13/2024,00:11,-1.64313,-0.381820,-2.13682,410.3,-46.2,0.115,0,0.323,0.103,0.103
9/13/2024,00:12,-1.66564,-0.381820,-2.19585,410.3,-46.13,0.084,0,0.295,0.129,0.129
9/13/2024,00:13,-1.67690,-0.381820,-2.19585,410.5,-46,0.061,0,0.265,0,0
9/13/2024,00:14,-1.66564,-0.381820,-2.03057,410.5,-46,0.084,0,0.302,0,0
9/13/2024,00:15,-1.67690,-0.381820,-2.11321,410.4,-46.11,0.061,0,0.323,0.134,0.128
9/13/2024,00:16,-1.67690,-0.381820,-1.99516,410,-46.5,0.061,0,0.31,0.064,0.064
9/13/2024,00:17,-1.64313,-0.381820,-2.06599,410,-46.45,0.115,0,0.318,0.109,0.109
9/13/2024,00:18,-1.59811,-0.381820,-2.12502,410,-46.51,0.149,0,0.317,0,0
9/13/2024,00:19,-1.68815,-0.381820,-2.06599,410,-46.48,0,0,0.331,0.102,0.088
9/13/2024,00:20,-1.65439,-0.381820,-1.98335,410.1,-46.51,0.101,0,0.283,0.102,0
9/13/2024,00:21,-1.62062,-0.381820,-2.11321,410.2,-46.51,0.135,0,0.31,0.08,0
9/13/2024,00:22,-1.68815,-0.381820,-2.11321,410.1,-46.51,0,0,0.31,0.087,0
9/13/2024,00:23,-1.65439,-0.381820,-1.97155,410,-46.51,0.101,0,0.299,0.021,0
9/13/2024,00:24,-1.68815,-0.381820,-2.13682,410,-46.46,0,0,0.31,0.103,0.103
9/13/2024,00:25,-1.68815,-0.381820,-2.06599,410.4,-46.03,0,0,0.318,0.111,0.11
9/13/2024,00:26,-1.68815,-0.381820,-2.00696,410.4,-46,0,0,0.294,0.072,0
9/13/2024,00:27,-1.68815,-0.381820,-2.18405,410.3,-46,0,0,0.331,0.036,0
9/13/2024,00:28,-1.68815,-0.381820,-2.24308,410.5,-45.72,0,0,0.294,0.24,0.24
