DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
9/9/2024,00:00,-1.01306,-0.381886,-1.77115,431.4,-17.47,0,0,0,0.127,0.127
9/9/2024,00:01,-1.01306,-0.381886,-1.77115,431.6,-17.26,0,0,0,0.196,0.197
9/9/2024,00:02,-1.01306,-0.381886,-1.77115,431.8,-17.06,0,0,0,0.03,0
9/9/2024,00:03,-1.01306,-0.381886,-1.77115,431.8,-17.06,0,0,0,0.031,0
9/9/2024,00:04,-1.01306,-0.381886,-1.77115,431.8,-17.06,0,0,0,0.052,0
9/9/2024,00:05,-1.01306,-0.381886,-1.77115,431.8,-17.05,0,0,0,0.068,0.046
9/9/2024,00:06,-1.01306,-0.381886,-1.77115,431.9,-16.91,0,0,0,0.226,0.218
9/9/2024,00:07,-1.01306,-0.381885,-1.77115,432.2,-16.54,0,0,0,0.073,0
9/9/2024,00:08,-1.01306,-0.381885,-1.77115,432,-16.63,0,0,0,0.199,0.193
9/9/2024,00:09,-1.01306,-0.381885,-1.77115,432.1,-16.54,0,0,0,0,0
9/9/2024,00:10,-1.01306,-0.381886,-1.77115,432.1,-16.54,0,0,0,0.004,0
9/9/2024,00:11,-1.01307,-0.381888,-1.77116,432.1,-16.54,0,0,0,0.062,0
9/9/2024,00:12,-1.01307,-0.381888,-1.77116,432.2,-16.54,0,0,0,0.087,0
9/9/2024,00:13,-1.01307,-0.381889,-1.77117,432.2,-16.54,0,0,0,0.069,0
9/9/2024,00:14,-1.01308,-0.381890,-1.77117,432.2,-16.55,0,0,0,0.098,0.046
9/9/2024,00:15,-1.01308,-0.381893,-1.77119,432.1,-16.8,0,0,0,0.246,0.25
9/9/2024,00:16,-1.01308,-0.381893,-1.77119,431.8,-17.06,0,0,0,0.016,0
9/9/2024,00:17,-1.01309,-0.381895,-1.77119,431.8,-17.06,0,0,0,0,0
9/9/2024,00:18,-1.01309,-0.381896,-1.7712,431.8,-17.06,0,0,0,0.013,0
9/9/2024,00:19,-1.01310,-0.381898,-1.77121,431.7,-17.06,0,0,0,0,0
9/9/2024,00:20,-1.01310,-0.3819,-1.77122,431.8,-17.03,0,0,0,0.079,0.078
9/9/2024,00:21,-1.01311,-0.381902,-1.77123,432.2,-16.64,0,0,0,0.183,0.183
9/9/2024,00:22,-1.01311,-0.381903,-1.77123,432.2,-16.62,0,0,0,0.16,0.151
9/9/2024,00:23,-1.01311,-0.381904,-1.77124,432.4,-16.54,0,0,0,0.103,0
9/9/2024,00:24,-1.01311,-0.381905,-1.77124,432.5,-16.54,0,0,0,0.044,0
9/9/2024,00:25,-1.01311,-0.381905,-1.77124,432.5,-16.54,0,0,0,0,0
9/9/2024,00:26,-1.01311,-0.381904,-1.77124,432.5,-16.54,0,0,0,0.009,0
9/9/2024,00:27,-1.01311,-0.381904,-1.77124,432.5,-16.55,0,0,0,0.089,0.046
9/9/2024,00:28,-1.01312,-0.381905,-1.77124,432.4,-16.75,0,0,0,0.234,0.235
9/9/2024,00:29,-1.01312,-0.381906,-1.77125,432.1,-17.06,0,0,0,0.084,0
9/9/2024,00:30,-1.01312,-0.381906,-1.77125,432.1,-17.06,0,0,0,0.077,0
9/9/2024,00:31,-1.01312,-0.381906,-1.77125,432.1,-17.06,0,0,0,0.077,0
9/9/2024,00:32,-1.01311,-0.381905,-1.77124,432.2,-17.06,0,0,0,0.02,0
9/9/2024,00:33,-1.01311,-0.381905,-1.77124,432.2,-17.06,0,0,0,0.037,0
9/9/2024,00:34,-1.01312,-0.381906,-1.77125,432.2,-17.05,0,0,0,0.057,0.046
9/9/2024,00:35,-1.01312,-0.381906,-1.77125,432.2,-17.04,0,0,0,0.069,0.064
9/9/2024,00:36,-1.01313,-0.381909,-1.77126,432.2,-17.06,0,0,0,0,0
9/9/2024,00:37,-1.01313,-0.381909,-1.77126,432.2,-17.06,0,0,0,0.003,0
9/9/2024,00:38,-1.01313,-0.381910,-1.77126,432.2,-17.06,0,0,0,0,0
9/9/2024,00:39,-1.01313,-0.38191,-1.77127,432.2,-17.06,0,0,0,0.003,0
9/9/2024,00:40,-1.01313,-0.381912,-1.77127,432.2,-17.06,0,0,0,0,0
9/9/2024,00:41,-1.01313,-0.381912,-1.77128,432.2,-17.06,0,0,0,0.003,0
9/9/2024,00:42,-1.01314,-0.381915,-1.77129,432.3,-17.06,0,0,0,0.101,0
9/9/2024,00:43,-1.01314,-0.381915,-1.77129,432.3,-17.03,0,0,0,0.111,0.078
9/9/2024,00:44,-1.01314,-0.381915,-1.77129,432.5,-16.81,0,0,0,0.241,0.236
9/9/2024,00:45,-1.01314,-0.381916,-1.77129,432.8,-16.6,0,0,0,0.169,0.159
9/9/2024,00:46,-1.01315,-0.381917,-1.77130,432.9,-16.54,0,0,0,0.073,0
9/9/2024,00:47,-1.01315,-0.381918,-1.77130,432.9,-16.54,0,0,0,0.066,0
9/9/2024,00:48,-1.01315,-0.381919,-1.77131,432.9,-16.54,0,0,0,0.048,0
9/9/2024,00:49,-1.01315,-0.381920,-1.77131,432.9,-16.54,0,0,0,0.044,0
9/9/2024,00:50,-1.01315,-0.381920,-1.77131,432.7,-16.83,0,0,0,0.229,0.225
9/9/2024,00:51,-1.01316,-0.381920,-1.77131,432.5,-16.99,0,0,0,0.15,0.148
9/9/2024,00:52,-1.01316,-0.381921,-1.77132,432.4,-17.06,0,0,0,0.022,0
9/9/2024,00:53,-1.01316,-0.381921,-1.77131,432.4,-17.06,0,0,0,0.061,0
9/9/2024,00:54,-1.01316,-0.381920,-1.77131,432.3,-17.04,0,0,0,0.109,0.064
9/9/2024,00:55,-1.01315,-0.381919,-1.77131,432.6,-16.7,0,0,0,0.194,0.207
9/9/2024,00:56,-1.01315,-0.381918,-1.77130,432.7,-16.54,0,0,0,0.052,0
9/9/2024,00:57,-1.01315,-0.381919,-1.77130,432.8,-16.43,0,0,0,0.18,0.185
9/9/2024,00:58,-1.01315,-0.381919,-1.77130,433,-16.3,0,0,0,0.161,0.176
9/9/2024,00:59,-1.01315,-0.381920,-1.77131,433.2,-16.03,0,0,0,0.05,0
9/9/2024,01:00,-1.01315,-0.381920,-1.77131,433.3,-16.03,0,0,0,0.086,0
9/9/2024,01:01,-1.01316,-0.381922,-1.77132,433.3,-16.03,0,0,0,0.094,0
9/9/2024,01:02,-1.01316,-0.381922,-1.77132,433.4,-16.03,0,0,0,0.065,0
9/9/2024,01:03,-1.01316,-0.381922,-1.77132,433.4,-16.03,0,0,0,0.052,0
9/9/2024,01:04,-1.01316,-0.381922,-1.77132,433.4,-16.06,0,0,0,0.122,0.11
9/9/2024,01:05,-1.01316,-0.381923,-1.77133,433.4,-16.03,0,0,0,0.049,0
9/9/2024,01:06,-1.01316,-0.381923,-1.77133,433.4,-16.06,0,0,0,0.089,0.088
9/9/2024,01:07,-1.01317,-0.381925,-1.77133,433.2,-16.24,0,0,0,0.19,0.19
9/9/2024,01:08,-1.01317,-0.381925,-1.77133,432.9,-16.53,0,0,0,0.069,0.064
9/9/2024,01:09,-1.01317,-0.381927,-1.77134,433,-16.48,0,0,0,0.128,0.128
9/9/2024,01:10,-1.01317,-0.381927,-1.77134,433.2,-16.19,0,0,0,0.236,0.226
9/9/2024,01:11,-1.01318,-0.381929,-1.77135,433,-16.4,0,0,0,0.26,0.208
9/9/2024,01:12,-1.01318,-0.381929,-1.77135,432.9,-16.45,0,0,0,0.207,0.194
9/9/2024,01:13,-1.01318,-0.381929,-1.77135,432.8,-16.54,0,0,0,0.087,0
9/9/2024,01:14,-1.01317,-0.381928,-1.77135,432.7,-16.54,0,0,0,0.075,0
9/9/2024,01:15,-1.01317,-0.381927,-1.77134,432.8,-16.54,0,0,0,0.081,0
